timestamp,open,close,low,high,volume
2025-09-12T14:56:00+00:00,167.6350,167.2500,167.2300,167.6900,138042
2025-09-12T14:57:00+00:00,167.2459,167.2550,167.2171,167.4703,154861
2025-09-12T14:58:00+00:00,167.2700,167.3900,167.1500,167.4650,106736
2025-09-12T14:59:00+00:00,167.3900,167.3226,167.3000,167.4700,72953
2025-09-12T15:00:00+00:00,167.3300,167.3300,167.2700,167.4499,94115
2025-09-12T15:01:00+00:00,167.3251,167.1002,167.0900,167.3600,146574
2025-09-12T15:02:00+00:00,167.1200,166.7401,166.7201,167.1250,150985
2025-09-12T15:03:00+00:00,166.7600,166.5799,166.4100,166.7600,245134
2025-09-12T15:04:00+00:00,166.5800,166.5600,166.4400,166.7202,168266
2025-09-12T15:05:00+00:00,166.5600,166.5125,166.3200,166.6200,118589
2025-09-12T15:06:00+00:00,166.5400,166.7100,166.5100,166.8093,150857
2025-09-12T15:07:00+00:00,166.7200,166.6150,166.5629,166.8599,129756
2025-09-12T15:08:00+00:00,166.6250,166.3900,166.3900,166.6914,90514
2025-09-12T15:09:00+00:00,166.4200,166.6500,166.3810,166.6600,88464
2025-09-12T15:10:00+00:00,166.6400,166.6500,166.4900,166.6850,89640
2025-09-12T15:11:00+00:00,166.6550,166.3382,166.3382,166.7800,141238
2025-09-12T15:12:00+00:00,166.3500,166.4800,166.3100,166.6400,93325
2025-09-12T15:13:00+00:00,166.4900,166.6200,166.4700,166.6200,57659
2025-09-12T15:14:00+00:00,166.6299,166.6900,166.5984,166.7203,59467
2025-09-12T15:15:00+00:00,166.6700,166.6301,166.5800,166.7697,84200
2025-09-12T15:16:00+00:00,166.6100,166.6900,166.5100,166.7700,83212
2025-09-12T15:17:00+00:00,166.6868,166.7200,166.6000,166.7400,59467
2025-09-12T15:18:00+00:00,166.7200,166.8300,166.6400,166.8629,80046
2025-09-12T15:19:00+00:00,166.8300,166.8100,166.7500,166.8600,69242
2025-09-12T15:20:00+00:00,166.8000,166.7300,166.6800,166.8799,95320
2025-09-12T15:21:00+00:00,166.7050,166.5600,166.4300,166.7174,101747
2025-09-12T15:22:00+00:00,166.5500,166.8000,166.5400,166.8600,65953
2025-09-12T15:23:00+00:00,166.7900,166.9000,166.7000,166.9300,86694
2025-09-12T15:24:00+00:00,166.8900,167.0600,166.8400,167.0700,96493
2025-09-12T15:25:00+00:00,167.0600,167.1500,167.0500,167.1794,84878
2025-09-12T15:26:00+00:00,167.1500,167.0700,167.0002,167.1699,72163
2025-09-12T15:27:00+00:00,167.0600,166.9600,166.9500,167.0700,59376
2025-09-12T15:28:00+00:00,166.9800,167.0700,166.9800,167.1500,85145
2025-09-12T15:29:00+00:00,167.0908,167.0900,167.0800,167.2500,72202
2025-09-12T15:30:00+00:00,167.1000,167.0050,166.9500,167.1245,69384
2025-09-12T15:31:00+00:00,167.0048,167.2250,166.9900,167.2700,58297
2025-09-12T15:32:00+00:00,167.2300,167.1110,167.0701,167.2500,72097
